,User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category_1,Product_Category_2,Product_Category_3,Purchase
174,1000033,P00241142,M,46-50,3,A,1,1,8,,,7909
175,1000033,P00219242,M,46-50,3,A,1,1,4,5,,811
176,1000033,P00057342,M,46-50,3,A,1,1,4,5,,2846
177,1000033,P00165742,M,46-50,3,A,1,1,8,16,,7994
178,1000033,P00154642,M,46-50,3,A,1,1,8,,,3897
179,1000034,P00192942,F,18-25,0,A,0,0,5,,,6996
180,1000034,P00247042,F,18-25,0,A,0,0,5,14,,8593
181,1000034,P00150542,F,18-25,0,A,0,0,5,,,6917
182,1000034,P00347142,F,18-25,0,A,0,0,5,,,5329
183,1000034,P00326742,F,18-25,0,A,0,0,11,,,5942
184,1000034,P00085942,F,18-25,0,A,0,0,2,4,8,15895
185,1000034,P00330442,F,18-25,0,A,0,0,5,14,,7165
186,1000034,P00327842,F,18-25,0,A,0,0,8,16,,9846
187,1000034,P00218342,F,18-25,0,A,0,0,5,,,8701
188,1000034,P00259042,F,18-25,0,A,0,0,5,,,8757
189,1000035,P00102542,M,46-50,1,C,4+,1,8,,,6109
190,1000035,P00285442,M,46-50,1,C,4+,1,8,,,6139
191,1000035,P00121142,M,46-50,1,C,4+,1,8,,,5897
192,1000035,P00228242,M,46-50,1,C,4+,1,8,,,3990
193,1000035,P00129542,M,46-50,1,C,4+,1,8,14,,6153
194,1000035,P00309542,M,46-50,1,C,4+,1,5,14,,5319
195,1000035,P00106742,M,46-50,1,C,4+,1,3,5,,10767
196,1000036,P00102642,M,26-35,3,B,0,0,4,8,9,2832
197,1000036,P00127442,M,26-35,3,B,0,0,1,2,15,8066
198,1000036,P00345642,M,26-35,3,B,0,0,1,15,16,15812
199,1000036,P00357842,M,26-35,3,B,0,0,5,,,6967
200,1000036,P00115342,M,26-35,3,B,0,0,5,8,14,6922
201,1000036,P00174442,M,26-35,3,B,0,0,5,,,8621
202,1000036,P00282642,M,26-35,3,B,0,0,5,,,7030
203,1000036,P00150542,M,26-35,3,B,0,0,5,,,7172
204,1000036,P00037142,M,26-35,3,B,0,0,1,2,5,15769
205,1000036,P00192042,M,26-35,3,B,0,0,5,9,14,6871
206,1000036,P00197542,M,26-35,3,B,0,0,5,,,7171
207,1000036,P00048742,M,26-35,3,B,0,0,5,,,7139
208,1000036,P00110142,M,26-35,3,B,0,0,7,,,16280
209,1000036,P00120842,M,26-35,3,B,0,0,8,17,,9894
210,1000036,P00267742,M,26-35,3,B,0,0,5,,,3664
211,1000036,P00086442,M,26-35,3,B,0,0,8,13,15,7869
212,1000036,P00331842,M,26-35,3,B,0,0,16,,,16866
213,1000036,P00288642,M,26-35,3,B,0,0,16,,,20442
214,1000036,P00318742,M,26-35,3,B,0,0,1,8,,11518
215,1000036,P00028442,M,26-35,3,B,0,0,1,8,16,15285
216,1000036,P00208342,M,26-35,3,B,0,0,1,16,,15524
217,1000036,P00193542,M,26-35,3,B,0,0,1,2,,19278
218,1000036,P00277442,M,26-35,3,B,0,0,1,6,15,15445
219,1000037,P00085242,F,26-35,9,C,1,0,8,14,17,8034
220,1000039,P00279442,M,18-25,4,B,2,0,16,,,12464
221,1000039,P00351142,M,18-25,4,B,2,0,1,8,17,15319
222,1000041,P00235242,F,18-25,4,C,3,0,8,,,5915
223,1000041,P00251542,F,18-25,4,C,3,0,11,16,,6025
224,1000042,P00046742,M,26-35,8,C,0,1,1,2,15,19433
225,1000042,P00003242,M,26-35,8,C,0,1,8,15,,6027
226,1000042,P00221542,M,26-35,8,C,0,1,5,15,,7040
227,1000042,P00142142,M,26-35,8,C,0,1,1,2,15,11965
228,1000042,P00044442,M,26-35,8,C,0,1,1,16,,15469
229,1000042,P00147742,M,26-35,8,C,0,1,1,16,,11925
230,1000042,P00030942,M,26-35,8,C,0,1,4,5,9,2826
231,1000042,P00288042,M,26-35,8,C,0,1,8,,,4013
232,1000042,P00313142,M,26-35,8,C,0,1,8,,,5914
233,1000042,P00195442,M,26-35,8,C,0,1,5,,,7176
234,1000043,P00255842,M,26-35,12,A,0,0,16,,,20961
235,1000044,P00112142,M,46-50,17,B,3,1,1,2,14,19072
236,1000044,P00120342,M,46-50,17,B,3,1,5,17,,7179
237,1000044,P00110542,M,46-50,17,B,3,1,8,,,7995
238,1000044,P00279942,M,46-50,17,B,3,1,8,,,4124
239,1000044,P00303742,M,46-50,17,B,3,1,8,,,7772
240,1000044,P00140742,M,46-50,17,B,3,1,1,15,,11799
241,1000044,P00190042,M,46-50,17,B,3,1,3,4,5,13251
242,1000044,P00316742,M,46-50,17,B,3,1,4,5,,3524
243,1000044,P00233542,M,46-50,17,B,3,1,1,15,,15853
244,1000044,P00115242,M,46-50,17,B,3,1,5,8,,1728
245,1000044,P00338442,M,46-50,17,B,3,1,1,16,,11693
246,1000044,P00302842,M,46-50,17,B,3,1,8,13,,7852
247,1000044,P00124842,M,46-50,17,B,3,1,11,,,1582
248,1000045,P00066442,F,46-50,16,A,1,1,5,14,,6950
249,1000045,P00273442,F,46-50,16,A,1,1,12,14,17,1414
250,1000045,P00210142,F,46-50,16,A,1,1,14,,,4325
251,1000045,P00212542,F,46-50,16,A,1,1,8,14,,4028
252,1000045,P00321742,F,46-50,16,A,1,1,5,8,17,3432
253,1000045,P00020042,F,46-50,16,A,1,1,5,8,,3715
254,1000045,P00051942,F,46-50,16,A,1,1,5,6,11,3540
255,1000045,P00251342,F,46-50,16,A,1,1,5,11,,5352
256,1000045,P00303542,F,46-50,16,A,1,1,5,,,1828
257,1000045,P00228142,F,46-50,16,A,1,1,5,,,7159
258,1000046,P00123142,M,18-25,19,C,4+,0,11,,,7614
259,1000046,P00079542,M,18-25,19,C,4+,0,5,8,,1784
260,1000046,P00103142,M,18-25,19,C,4+,0,1,,,3978
261,1000046,P00305542,M,18-25,19,C,4+,0,11,,,7478
262,1000047,P00031042,M,18-25,4,C,4+,1,8,,,8043
263,1000047,P00260042,M,18-25,4,C,4+,1,5,8,,6912
264,1000048,P00055642,M,26-35,4,B,3,1,4,5,,1447
265,1000048,P00312742,M,26-35,4,B,3,1,15,,,4338
266,1000048,P00010742,M,26-35,4,B,3,1,1,8,17,19352
267,1000048,P00147742,M,26-35,4,B,3,1,1,16,,11420
268,1000048,P00303742,M,26-35,4,B,3,1,8,,,5897
269,1000048,P00223242,M,26-35,4,B,3,1,5,14,,7048
270,1000048,P00114942,M,26-35,4,B,3,1,1,15,16,15783
271,1000048,P00277442,M,26-35,4,B,3,1,1,6,15,11396
272,1000048,P00183242,M,26-35,4,B,3,1,5,15,,5180
273,1000048,P00030842,M,26-35,4,B,3,1,1,2,15,15549
274,1000048,P00220142,M,26-35,4,B,3,1,1,15,,11935
275,1000048,P00130442,M,26-35,4,B,3,1,3,5,,8091
276,1000048,P00323042,M,26-35,4,B,3,1,5,,,7001
277,1000048,P00344742,M,26-35,4,B,3,1,5,,,1747
278,1000048,P00182442,M,26-35,4,B,3,1,5,11,,5252
279,1000048,P00015342,M,26-35,4,B,3,1,2,4,,6407
280,1000048,P00113242,M,26-35,4,B,3,1,1,6,8,15466
281,1000048,P00288042,M,26-35,4,B,3,1,8,,,7781
282,1000048,P00103042,M,26-35,4,B,3,1,1,14,,15849
283,1000048,P00187842,M,26-35,4,B,3,1,1,16,,11430
284,1000048,P00162442,M,26-35,4,B,3,1,1,16,,11404
285,1000048,P00078542,M,26-35,4,B,3,1,1,2,16,11853
286,1000048,P0094142,M,26-35,4,B,3,1,4,5,,1446
287,1000048,P00324442,M,26-35,4,B,3,1,11,13,16,3101
288,1000048,P00041642,M,26-35,4,B,3,1,5,,,3694
289,1000048,P00050542,M,26-35,4,B,3,1,5,,,3696
290,1000048,P00006442,M,26-35,4,B,3,1,5,,,3580
291,1000049,P00051442,M,18-25,12,C,4+,1,8,17,,9879
292,1000049,P00350942,M,18-25,12,C,4+,1,3,4,5,10783
293,1000049,P00000142,M,18-25,12,C,4+,1,3,4,5,13353
294,1000049,P00127242,M,18-25,12,C,4+,1,1,16,,15715
295,1000049,P00034042,M,18-25,12,C,4+,1,1,2,16,11463
296,1000049,P00143142,M,18-25,12,C,4+,1,8,14,,7763
297,1000050,P00317942,F,26-35,2,A,1,1,8,16,,5878
298,1000050,P00335542,F,26-35,2,A,1,1,8,,,5845
299,1000051,P00361842,F,0-17,10,C,2,0,15,16,,17271
300,1000052,P00147942,M,18-25,4,C,0,0,1,16,,15244
301,1000052,P00000642,M,18-25,4,C,0,0,1,6,16,19060
302,1000052,P00037142,M,18-25,4,C,0,0,1,2,5,15772
303,1000052,P00028042,M,18-25,4,C,0,0,1,16,,8159
304,1000053,P00117542,M,26-35,0,B,1,0,18,,,3794
305,1000053,P00120342,M,26-35,0,B,1,0,5,17,,8637
306,1000053,P00130742,M,26-35,0,B,1,0,1,14,17,19251
307,1000053,P00024142,M,26-35,0,B,1,0,8,9,14,10021
308,1000053,P00127242,M,26-35,0,B,1,0,1,16,,15734
309,1000053,P00209742,M,26-35,0,B,1,0,1,11,15,19662
310,1000053,P00160042,M,26-35,0,B,1,0,1,13,16,19416
311,1000053,P00042342,M,26-35,0,B,1,0,8,16,,5996
312,1000053,P00016542,M,26-35,0,B,1,0,1,6,16,11937
313,1000053,P00016742,M,26-35,0,B,1,0,1,15,16,15859
314,1000053,P00227642,M,26-35,0,B,1,0,1,5,14,11723
315,1000053,P00146142,M,26-35,0,B,1,0,1,2,15,11793
316,1000053,P00070542,M,26-35,0,B,1,0,3,15,,13689
317,1000053,P00129842,M,26-35,0,B,1,0,6,8,15,16306
318,1000053,P00243942,M,26-35,0,B,1,0,1,2,15,19171
319,1000053,P00246742,M,26-35,0,B,1,0,11,15,,1629
320,1000053,P00310142,M,26-35,0,B,1,0,5,15,,6931
321,1000053,P00244142,M,26-35,0,B,1,0,1,2,15,12004
322,1000053,P00085442,M,26-35,0,B,1,0,12,14,,1752
323,1000053,P00190142,M,26-35,0,B,1,0,3,4,5,10766
324,1000053,P00109242,M,26-35,0,B,1,0,6,8,10,20529
325,1000053,P00089342,M,26-35,0,B,1,0,8,,,9856
326,1000053,P00288542,M,26-35,0,B,1,0,8,,,8000
327,1000053,P00212242,M,26-35,0,B,1,0,8,,,10038
328,1000053,P00319342,M,26-35,0,B,1,0,5,8,,8685
329,1000053,P00302942,M,26-35,0,B,1,0,8,,,7796
330,1000053,P00145942,M,26-35,0,B,1,0,6,8,13,20474
331,1000053,P00026342,M,26-35,0,B,1,0,8,,,7820
332,1000053,P00148842,M,26-35,0,B,1,0,6,8,16,16477
333,1000054,P00299842,M,51-55,1,C,4+,1,8,,,6198
334,1000054,P00313342,M,51-55,1,C,4+,1,5,,,5185
335,1000056,P00102442,M,36-45,20,C,0,1,8,,,5980
336,1000056,P00237542,M,36-45,20,C,0,1,1,15,16,11370
337,1000056,P00213742,M,36-45,20,C,0,1,8,,,9834
338,1000056,P0099342,M,36-45,20,C,0,1,5,8,,2012
339,1000057,P00171542,M,18-25,19,C,2,0,2,5,14,3581
340,1000057,P00135742,M,18-25,19,C,2,0,6,8,,12131
341,1000057,P00350342,M,18-25,19,C,2,0,1,6,,4290
342,1000058,P00110742,M,26-35,2,B,3,0,1,2,8,15824
343,1000058,P00117642,M,26-35,2,B,3,0,10,16,,23603
344,1000058,P00114142,M,26-35,2,B,3,0,8,,,9940
345,1000058,P00119142,M,26-35,2,B,3,0,3,4,12,13557
346,1000058,P00280742,M,26-35,2,B,3,0,6,8,,16420
347,1000058,P00271142,M,26-35,2,B,3,0,5,,,8842
348,1000058,P00348242,M,26-35,2,B,3,0,8,,,7959
349,1000058,P00003942,M,26-35,2,B,3,0,5,14,,6987
350,1000058,P00282642,M,26-35,2,B,3,0,5,,,6855
351,1000058,P00288642,M,26-35,2,B,3,0,16,,,16579
352,1000058,P00151742,M,26-35,2,B,3,0,8,15,16,5851
353,1000058,P00244142,M,26-35,2,B,3,0,1,2,15,8147
354,1000058,P00050642,M,26-35,2,B,3,0,15,16,,12850
355,1000059,P00114742,F,51-55,1,B,4+,1,8,,,5899
356,1000059,P00113942,F,51-55,1,B,4+,1,8,,,3993
357,1000059,P00120942,F,51-55,1,B,4+,1,8,,,8084
358,1000059,P00083842,F,51-55,1,B,4+,1,5,14,,7159
359,1000059,P00148642,F,51-55,1,B,4+,1,6,10,13,12014
360,1000059,P00317842,F,51-55,1,B,4+,1,8,,,8007
361,1000059,P00030642,F,51-55,1,B,4+,1,8,,,6141
362,1000059,P00273642,F,51-55,1,B,4+,1,8,14,,9695
363,1000059,P00002542,F,51-55,1,B,4+,1,8,14,,5900
364,1000059,P00331642,F,51-55,1,B,4+,1,12,,,1384
365,1000059,P00331242,F,51-55,1,B,4+,1,12,17,,1432
366,1000059,P0096442,F,51-55,1,B,4+,1,4,5,12,2074
367,1000059,P00050242,F,51-55,1,B,4+,1,8,,,7864
368,1000059,P00131942,F,51-55,1,B,4+,1,7,,,8784
369,1000059,P00010742,F,51-55,1,B,4+,1,1,8,17,7988
370,1000060,P00150542,M,51-55,1,C,1,1,5,,,2048
371,1000060,P00132042,M,51-55,1,C,1,1,13,16,,742
372,1000061,P00334242,M,26-35,17,C,1,0,1,8,,15365
373,1000062,P00013742,F,36-45,3,A,1,0,5,,,5234
374,1000062,P00036842,F,36-45,3,A,1,0,1,14,16,11694
375,1000062,P00119342,F,36-45,3,A,1,0,10,13,,23792
376,1000062,P00182142,F,36-45,3,A,1,0,1,5,6,15654
377,1000062,P00188942,F,36-45,3,A,1,0,8,,,9844
378,1000062,P00203142,F,36-45,3,A,1,0,16,,,16698
379,1000062,P00320442,F,36-45,3,A,1,0,6,10,,15957
380,1000062,P00121642,F,36-45,3,A,1,0,5,14,,8599
381,1000062,P00289542,F,36-45,3,A,1,0,8,,,8138
382,1000062,P00329742,F,36-45,3,A,1,0,6,16,,12422
383,1000062,P00326642,F,36-45,3,A,1,0,8,,,7766
384,1000062,P00346142,F,36-45,3,A,1,0,1,15,,15208
385,1000062,P00336142,F,36-45,3,A,1,0,5,12,,5284
386,1000062,P00111442,F,36-45,3,A,1,0,8,,,7965
387,1000062,P00087242,F,36-45,3,A,1,0,14,,,11279
388,1000063,P00234742,M,18-25,4,C,2,0,8,,,5881
389,1000063,P00021742,M,18-25,4,C,2,0,5,,,8587
390,1000063,P00090842,M,18-25,4,C,2,0,11,15,,7552
391,1000063,P00214542,M,18-25,4,C,2,0,8,,,2226
392,1000064,P00110942,M,18-25,1,A,1,1,1,2,,19462
393,1000065,P00289942,M,36-45,12,C,2,1,3,4,5,13253
394,1000065,P00147942,M,36-45,12,C,2,1,1,16,,19420
395,1000065,P00216142,M,36-45,12,C,2,1,1,16,,19409
396,1000065,P00104842,M,36-45,12,C,2,1,8,,,9889
397,1000065,P00113142,M,36-45,12,C,2,1,1,5,12,15628
398,1000065,P00177942,M,36-45,12,C,2,1,5,8,,7053
399,1000066,P00265242,M,26-35,18,C,2,0,5,8,,8652
400,1000067,P00118142,F,51-55,5,C,4+,1,8,17,,8088
401,1000067,P00003642,F,51-55,5,C,4+,1,8,,,9878
402,1000067,P00178342,F,51-55,5,C,4+,1,8,,,7771
403,1000068,P00289742,M,18-25,4,A,0,0,8,,,9938
404,1000068,P00085042,M,18-25,4,A,0,0,5,6,,7036
405,1000068,P00248942,M,18-25,4,A,0,0,1,6,14,11429
406,1000069,P00184942,F,26-35,1,A,1,0,1,8,17,11715
407,1000069,P00041542,F,26-35,1,A,1,0,8,,,7973
408,1000070,P00249142,M,18-25,4,A,2,0,5,,,7076
409,1000070,P00284042,M,18-25,4,A,2,0,8,17,,2304
410,1000071,P00165442,M,26-35,14,A,0,1,1,15,16,11846
411,1000071,P00115942,M,26-35,14,A,0,1,8,17,,7908
412,1000071,P00278642,M,26-35,14,A,0,1,5,,,5223
413,1000071,P00021742,M,26-35,14,A,0,1,5,,,6996
414,1000072,P00156442,F,46-50,0,B,1,1,8,,,7968
415,1000072,P00318742,F,46-50,0,B,1,1,1,8,,15426
416,1000073,P00351142,M,18-25,4,A,4+,0,1,8,17,15900
